Data;Czas;Kierunek;Przewoznik;Rejs;Status;;Lotnisko wylotowe
2025-04-03;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-04-06;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-04-19;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-04-22;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-04-26;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-04-29;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-05-01;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-05-02;13:50;Antalia (AYT);LOT;LO6606;0;;"RDO"
2025-05-03;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-05-05;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-05-06;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-05-07;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-05-08;12:50;Antalia (AYT); ;ENT5608;0;;"RDO"
2025-05-10;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-05-13;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-05-13;19:10;Antalia (AYT);LOT;LO6114;0;;"RDO"
2025-05-17;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-05-20;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-05-24;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-05-27;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-05-31;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-06-01;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-06-02;20:25;Antalia (AYT); ;ENT4168;0;;"RDO"
2025-06-03;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-06-03;13:20;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-06-04;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-06-05;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-06-05;14:25;Barcelona (BCN);LOT;LO2214;0;;"RDO"
2025-06-06;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-06-07;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-06-08;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-06-08;12:50;Antalia (AYT); ;ENT5608;0;;"RDO"
2025-06-08;15:20;Tirana (TIA);LOT;LO6258;0;;"RDO"
2025-06-09;13:45;Antalia (AYT);LOT;LO6606;0;;"RDO"
2025-06-10;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-06-11;13:45;Antalia (AYT);LOT;LO6606;0;;"RDO"
2025-06-12;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-06-13;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-06-13;19:10;Antalia (AYT);LOT;LO6114;0;;"RDO"
2025-06-13;20:35;Aktion (PVK);LOT;LO2208;0;;"RDO"
2025-06-14;14:25;Barcelona (BCN);LOT;LO2214;0;;"RDO"
2025-06-14;19:10;Antalia (AYT);LOT;LO6114;0;;"RDO"
2025-06-15;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-06-16;11:30;Antalia (AYT); ;MGH187;0;;"RDO"
2025-06-17;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-06-18;20:25;Antalia (AYT); ;ENT4168;0;;"RDO"
2025-06-19;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-06-20;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-06-21;14:25;Barcelona (BCN);LOT;LO2214;0;;"RDO"
2025-06-22;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-06-23;11:30;Antalia (AYT); ;MGH187;0;;"RDO"
2025-06-24;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-06-25;20:25;Antalia (AYT); ;ENT4168;0;;"RDO"
2025-06-26;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-06-27;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-06-28;14:25;Barcelona (BCN);LOT;LO2214;0;;"RDO"
2025-06-29;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-06-30;11:30;Antalia (AYT); ;MGH187;0;;"RDO"
2025-07-01;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-07-02;14:25;Barcelona (BCN);LOT;LO2214;0;;"RDO"
2025-07-02;20:25;Antalia (AYT); ;ENT4168;0;;"RDO"
2025-07-03;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-07-04;11:30;Antalia (AYT); ;MGH187;0;;"RDO"
2025-07-04;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-07-05;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-07-05;14:25;Barcelona (BCN);LOT;LO2214;0;;"RDO"
2025-07-06;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-07-07;11:30;Antalia (AYT); ;MGH187;0;;"RDO"
2025-07-07;12:40;Antalia (AYT); ;ENT5608;0;;"RDO"
2025-07-07;15:20;Tirana (TIA);LOT;LO6258;0;;"RDO"
2025-07-08;12:40;Antalia (AYT); ;ENT5608;0;;"RDO"
2025-07-08;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-07-08;15:20;Tirana (TIA);LOT;LO6258;0;;"RDO"
2025-07-09;19:35;Antalia (AYT); ;ENT4168;0;;"RDO"
2025-07-10;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-07-11;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-07-11;13:45;Antalia (AYT);LOT;LO6606;0;;"RDO"
2025-07-12;14:25;Barcelona (BCN);LOT;LO2214;0;;"RDO"
2025-07-12;20:35;Aktion (PVK);LOT;LO2208;0;;"RDO"
2025-07-13;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-07-13;20:35;Aktion (PVK);LOT;LO2208;0;;"RDO"
2025-07-14;11:30;Antalia (AYT); ;MGH187;0;;"RDO"
2025-07-14;19:10;Antalia (AYT);LOT;LO6114;0;;"RDO"
2025-07-15;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-07-16;19:05;Antalia (AYT); ;ENT4168;0;;"RDO"
2025-07-17;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-07-18;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-07-19;14:25;Barcelona (BCN);LOT;LO2214;0;;"RDO"
2025-07-20;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-07-21;11:30;Antalia (AYT); ;MGH187;0;;"RDO"
2025-07-22;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-07-23;19:05;Antalia (AYT); ;ENT4168;0;;"RDO"
2025-07-24;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-07-25;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-07-26;14:25;Barcelona (BCN);LOT;LO2214;0;;"RDO"
2025-07-27;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-07-28;11:30;Antalia (AYT); ;MGH187;0;;"RDO"
2025-07-29;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-07-30;19:05;Antalia (AYT); ;ENT4168;0;;"RDO"
2025-07-31;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-08-01;11:30;Antalia (AYT); ;MGH187;0;;"RDO"
2025-08-02;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-08-02;14:25;Barcelona (BCN);LOT;LO2214;0;;"RDO"
2025-08-03;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-08-03;19:05;Antalia (AYT); ;ENT4168;0;;"RDO"
2025-08-04;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-08-04;11:30;Antalia (AYT); ;MGH187;0;;"RDO"
2025-08-05;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-08-06;14:25;Barcelona (BCN);LOT;LO2214;0;;"RDO"
2025-08-06;19:05;Antalia (AYT); ;ENT4168;0;;"RDO"
2025-08-07;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-08-07;12:40;Antalia (AYT); ;ENT5608;0;;"RDO"
2025-08-07;15:20;Tirana (TIA);LOT;LO6258;0;;"RDO"
2025-08-08;12:40;Antalia (AYT); ;ENT5608;0;;"RDO"
2025-08-08;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-08-08;15:20;Tirana (TIA);LOT;LO6258;0;;"RDO"
2025-08-09;14:25;Barcelona (BCN);LOT;LO2214;0;;"RDO"
2025-08-10;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-08-11;11:30;Antalia (AYT); ;MGH187;0;;"RDO"
2025-08-11;13:45;Antalia (AYT);LOT;LO6606;0;;"RDO"
2025-08-12;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-08-12;20:35;Aktion (PVK);LOT;LO2208;0;;"RDO"
2025-08-13;19:05;Antalia (AYT); ;ENT4168;0;;"RDO"
2025-08-13;20:35;Aktion (PVK);LOT;LO2208;0;;"RDO"
2025-08-14;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-08-14;19:10;Antalia (AYT);LOT;LO6114;0;;"RDO"
2025-08-15;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-08-16;14:25;Barcelona (BCN);LOT;LO2214;0;;"RDO"
2025-08-17;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-08-18;11:30;Antalia (AYT); ;MGH187;0;;"RDO"
2025-08-19;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-08-20;19:05;Antalia (AYT); ;ENT4168;0;;"RDO"
2025-08-21;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-08-22;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
2025-08-23;14:25;Barcelona (BCN);LOT;LO2214;0;;"RDO"
2025-08-24;08:20;Larnaka (LCA);WIZZAIR;W64640;0;;"RDO"
2025-08-25;11:30;Antalia (AYT); ;MGH187;0;;"RDO"
2025-08-26;13:15;Rzym  Fiumicino (FCO);LOT;LO2206;0;;"RDO"
